ID,alcohol_use_ok,birthdate,desired_host_type,education,employment,gender,guest_in_relationship,guest_is_parent,indoor_smoking_ok,language,mail,name,number_of_guests,pets,pets_not_ok,phone,substance_use_ok
0,1,1995-04-28,full,Prepare crime discussion course where.,"Lighting technician, broadcasting/film/video",female,0,1,0,"['English', 5]",Mark.Compton@gmail.com,Mark Compton,1,[],['cat'],001-068-349-4137,1
1,1,2000-02-04,full,Even significant energy tax determine sometimes.,"Scientist, research (life sciences)",male,0,0,1,['English'],Xavier.Lambert@gmail.com,Xavier Lambert,1,[],['cat'],+1-448-220-2825,0
2,1,1998-11-22,full,Might hour during send open may while relationship.,Interpreter,transgender,0,0,1,['English'],Calvin.Martin@gmail.com,Calvin Martin,1,[],[],507-040-2751,1
3,1,1996-05-27,full,Laugh notice difficult bag authority.,Operations geologist,male,0,1,0,"['English', 17]",Matthew.Werner@gmail.com,Matthew Werner,1,[],"['dog', 'reptile']",034-839-6341,1
4,1,1994-06-10,full,Network here can enter nearly skin defense.,Fish farm manager,female,1,1,0,"['English', 12]",Oscar.Randolph@gmail.com,Oscar Randolph,1,[],['reptile'],881.676.3409x921,1
5,1,1997-03-10,full,Show sister good organization share information community.,Personnel officer,male,0,0,0,['English'],Leah.Johnson@gmail.com,Leah Johnson,1,[],[],+1-029-453-6151x854,1
6,1,1998-07-29,full,Condition answer customer education positive leg.,Health physicist,female,0,0,0,[16],Eric.Ramsey@gmail.com,Eric Ramsey,1,"['other', 'fish']",[],031-195-3476x95513,0
7,1,1995-12-24,full,Mr order already.,Psychiatric nurse,male,0,1,1,"['English', 21]",Troy.Byrd@gmail.com,Troy Byrd,1,[],[],8089111303,1
8,0,1997-12-08,full,Several toward reveal message necessary beyond smile.,"Pilot, airline",female,0,1,1,"['English', 12]",Beverly.Barnett@gmail.com,Beverly Barnett,2,[],[],980.553.9770,1
9,1,2000-07-20,full,Usually win also contain.,Civil Service fast streamer,transgender,1,0,1,['English'],Vincent.Bentley@gmail.com,Vincent Bentley,2,[],[],687-973-5041,0
10,1,1999-03-10,full,You such city tree series reason.,"Psychologist, sport and exercise",male,0,0,0,[28],Benjamin.Mitchell@gmail.com,Benjamin Mitchell,1,[],[],001-691-047-0127x94982,1
11,1,2001-12-08,full,Impact green follow agree not concern.,Early years teacher,male,0,0,0,"['English', 15]",Jim.Gregory@gmail.com,Jim Gregory,2,"['reptile', 'dog']",[],249-475-9596x791,1
12,1,1998-02-11,full,Similar difference people north.,"Designer, blown glass/stained glass",female,0,0,1,"['English', 30]",Tracy.Johnson@gmail.com,Tracy Johnson,1,"['bird', 'other', 'dog']",[],856.238.6466x98410,1
13,1,1999-11-08,full,Subject give here point floor bar police.,Sports development officer,male,1,0,1,['English'],Brandon.Jennings@gmail.com,Brandon Jennings,1,"['reptile', 'dog', 'other']",[],+1-604-372-4115,1
14,1,2000-01-05,respite,Hotel church send treat meet.,Forensic scientist,male,1,0,0,['English'],Angela.Carter.DDS@gmail.com,Angela Carter DDS,1,[],[],995.089.5756x299,1
15,1,1999-08-23,full,Scene wind wide reveal kitchen.,Music therapist,female,0,0,1,['English'],Leslie.Ryan@gmail.com,Leslie Ryan,1,[],[],+1-518-589-0042x45102,1
16,0,1999-12-01,full,Wide group word.,Surgeon,male,0,0,1,['English'],Ashley.Moore@gmail.com,Ashley Moore,1,[],[],(666)208-3786x46445,1
17,1,1995-07-05,full,Employee once ball environmental scientist paper.,Equality and diversity officer,male,0,0,0,"['English', 25]",Kristi.Barber@gmail.com,Kristi Barber,1,['dog'],[],749.291.5160x34736,1
18,1,2000-11-30,full,Finish nothing themselves detail.,Ecologist,male,0,1,0,"['English', 25]",Teresa.Dixon@gmail.com,Teresa Dixon,1,[],['reptile'],001-271-080-2835x847,1
19,1,1998-01-18,respite,Response follow property sign dinner ago.,Legal secretary,female,0,0,1,"['English', 21]",James.Thomas@gmail.com,James Thomas,1,[],[],645-351-3715,1
20,1,2001-11-03,full,Strategy whether else almost.,Broadcast engineer,female,0,0,0,"['English', 3]",Amy.Reynolds@gmail.com,Amy Reynolds,1,[],[],5354651724,0
21,1,1999-08-10,full,Phone play memory beautiful value fine here child.,Neurosurgeon,female,1,0,0,"['English', 11]",Mark.Copeland@gmail.com,Mark Copeland,1,[],[],405-746-2377,1
22,1,2001-04-08,full,In any resource one candidate growth community sound.,Chartered public finance accountant,male,1,1,1,['English'],Sylvia.Moore@gmail.com,Sylvia Moore,3,[],[],411-881-9187,0
23,1,1994-10-25,full,Pick control day black approach report individual.,Purchasing manager,male,0,0,0,['English'],Pamela.Thompson@gmail.com,Pamela Thompson,1,[],['dog'],490-708-6336,1
24,1,1997-09-12,respite,Reach threat character campaign throughout.,Learning mentor,female,0,1,0,['English'],Derrick.Snyder@gmail.com,Derrick Snyder,2,[],[],001-422-247-9261x607,1
25,1,1994-07-27,full,Statement describe may media sit college something.,"Chemist, analytical",male,1,1,0,[7],James.Adams@gmail.com,James Adams,1,['cat'],[],(935)146-2333,1
26,0,1996-04-10,full,Respond listen accept now cup.,"Engineer, petroleum",male,0,0,1,[0],Maria.Jones@gmail.com,Maria Jones,1,['other'],[],001-664-428-0935,0
27,1,1997-04-19,full,Leader each shake act strong.,Clinical biochemist,transgender,1,0,0,['English'],Chad.White@gmail.com,Chad White,2,[],[],5868702892,1
28,1,1999-11-24,full,Tough score section type.,Landscape architect,male,0,0,0,['English'],Deborah.Boyd@gmail.com,Deborah Boyd,1,[],[],+1-084-357-5191x9015,1
29,0,1999-08-04,full,Her strategy reach down citizen general anyone.,"Therapist, speech and language",nonbinary,0,0,0,['English'],Maxwell.Johnson@gmail.com,Maxwell Johnson,2,"['cat', 'dog', 'other', 'reptile']",[],001-528-293-7234x08883,1
30,0,1995-06-04,full,Learn hard east age professional nation.,Herpetologist,male,0,0,0,['English'],Kenneth.Huerta@gmail.com,Kenneth Huerta,1,[],[],9113460598,0
31,1,2000-09-02,full,Operation language role explain probably.,Newspaper journalist,female,0,0,1,"['English', 36]",Michael.Ellis@gmail.com,Michael Ellis,2,[],['reptile'],392-301-8620,0
32,1,1996-12-18,full,Student factor hope discuss.,"Runner, broadcasting/film/video",male,1,1,0,"['English', 15]",Austin.Warren@gmail.com,Austin Warren,1,[],[],000-202-7652x17438,0
33,1,1996-03-20,full,Smile wind despite man key pay.,Water engineer,male,0,0,0,['English'],Jimmy.Ross@gmail.com,Jimmy Ross,1,[],[],001-453-459-8392x390,1
34,1,2001-09-26,respite,Center three group sit inside anything.,Occupational psychologist,male,1,0,1,"['English', 23]",Karen.Harvey@gmail.com,Karen Harvey,1,[],[],691.152.8862x04877,1
35,0,1998-04-01,full,Goal sort race firm statement ask middle choose.,Graphic designer,male,0,0,1,[13],Laura.Moses@gmail.com,Laura Moses,1,[],[],674-375-5539x373,1
36,1,1994-08-23,respite,Strong ground skin big top however mother.,Forensic scientist,female,0,0,1,"['English', 27]",Christopher.Sanchez@gmail.com,Christopher Sanchez,1,[],['cat'],567.874.6018x311,1
