ID,address,alcohol_use_ok,desired_host_type,gender,guest_in_relationship,guest_is_parent,indoor_smoking_ok,name,number_of_guests,pets,pets_not_ok
0,"077 Mata Lodge Apt. 306
West John, RI 79386",1,full,male,1,0,0,Tammy Bush,2,[],[]
1,"692 Tran Mountain Suite 321
East James, CA 83197",1,full,mtf,0,0,0,Elizabeth Cole,1,[],[]
2,"8528 Thompson Point Apt. 909
New Joshua, OK 18783",1,full,nb,0,0,0,Nicole Moyer,1,[],[]
3,"USCGC Norton
FPO AP 14209",1,full,female,0,0,0,Chelsea Henson,1,[],[]
4,"4764 Andrew Ville
Glennton, MD 67350",1,full,male,1,0,0,Molly Hill,1,[],[]
5,"0866 Reed Lights Suite 869
Martinstad, TN 05766",1,respite,female,1,0,0,Heather Miller,1,[],['dog']
6,"USS Buck
FPO AE 98186",1,full,female,0,0,0,Lisa Jimenez,1,[],[]
7,"90412 Nicole Hills Apt. 104
Lake Nathanshire, HI 53045",1,full,male,0,0,0,Patricia Ballard,3,[],[]
8,"70740 Williams Prairie
Port Ashleyfurt, IA 93800",1,full,ftm,0,0,1,Jennifer Olsen,1,"['bird', 'fish', 'other']",[]
9,"08470 Calderon Throughway
East Lisa, WY 86915",1,full,female,0,0,0,Anthony Giles,1,[],"['other', 'cat']"
10,"2636 Paul Drive Apt. 655
Port Jessicashire, OH 72118",1,full,female,0,0,0,Paula Turner,2,[],['cat']
11,"8866 Steven Rapid
New Jennifer, IA 49978",1,full,female,0,0,0,Erin Mayo,1,[],[]
12,"989 Stacey Keys Apt. 565
Jennifermouth, ND 82827",0,full,female,1,0,0,Tabitha Lawrence,2,[],[]
13,"944 Courtney Burgs
Joneston, WY 75213",1,full,male,0,0,0,Patricia Wallace,1,[],[]
14,"62337 Peterson Union
Peterville, IA 01725",1,respite,ftm,1,0,0,Carl Kelly,1,[],[]
15,"PSC 4266, Box 1496
APO AP 71420",1,full,male,0,1,0,Benjamin Turner,1,[],[]
16,"44617 Morris Lock Apt. 458
Dyermouth, KY 55981",1,full,female,1,0,0,Shannon Carroll,1,[],['cat']
17,"793 Adrienne Lake Suite 744
South Chadstad, WV 58135",1,respite,male,0,0,0,Adam Kennedy,1,[],['other']
18,"225 Fernandez Forge
East Christopher, ND 95184",0,respite,female,0,1,0,Nicole Bell,1,[],[]
19,"6533 Jennings Glen
Kyleborough, FL 99347",0,full,male,1,0,1,Debra Miller,2,[],[]
20,"413 Odonnell Run Apt. 672
Bernardport, MD 85535",1,respite,male,0,0,1,Jeffrey Oconnor,2,[],[]
21,"09129 Jones Highway Suite 662
Port Kennethview, VA 38034",1,full,male,0,0,0,Thomas Warren,1,[],[]
22,"615 Campbell Prairie Apt. 319
Lake Gabrielle, CT 85677",1,full,mtf,1,0,1,Cole Johnston,2,"['cat', 'bird']",[]
23,"647 Randy Estates Suite 366
Hartmanside, NH 38436",1,full,female,0,0,1,Jennifer Forbes,1,[],[]
24,"76875 Green Fords Apt. 093
West Lance, VA 63601",0,full,male,1,0,1,Donald Wells,1,[],[]
25,"81378 Justin Radial
Vincentmouth, FL 42848",1,respite,female,0,0,1,Crystal Smith,1,[],['other']
26,"96120 Lisa Summit
Port Nancy, OH 77854",1,full,female,0,0,0,Allison Martinez,1,[],[]
27,"1171 Scott Fields
West Chelseaberg, NY 84555",1,full,female,0,0,0,Marc Snyder,2,[],[]
28,"461 Monica Locks
Angelaborough, SD 71383",1,respite,male,1,0,0,Eric Richmond,1,[],[]
29,"588 Lindsey Mews Suite 205
New Vanessa, MI 39351",1,respite,male,0,0,0,Peter Reed,1,[],['dog']
30,"4745 Amber Knolls Apt. 900
Nicholsside, VT 71647",1,full,ftm,0,0,1,Joseph Vargas,1,[],[]
31,"56527 Daniel Turnpike
Lake Ronaldland, OK 81412",1,full,female,1,0,0,Jennifer Ramos,1,[],[]
32,"4305 Carl Light
Karenside, FL 14591",0,respite,female,1,0,0,Joseph Becker,1,[],[]
33,"1988 Corey Key
Derekfort, TX 53240",1,full,female,0,0,1,Stephen Lester,1,[],"['other', 'cat']"
34,"58163 Cooper Spurs
Jaredmouth, CO 19784",1,full,nb,0,0,0,Ryan Graham,1,[],['other']
35,"144 William Unions
Atkinsonview, SD 30443",1,full,male,0,0,0,Kyle Jones,2,[],[]
36,"540 Sherry Park
Lisaview, OK 26863",1,full,female,0,0,0,William Phillips,1,[],[]
37,"72990 Price Divide Suite 158
Davidport, AZ 33685",1,full,male,0,0,0,Kimberly Rios,2,['bird'],[]
38,"9199 Tiffany Valley Suite 811
South Heatherchester, AK 90836",1,respite,male,1,1,1,Joseph Palmer,1,[],[]
39,"09066 Heather Spurs Suite 133
Rollinsfort, SC 06331",0,full,female,0,1,0,Steven Schmidt,1,[],['other']
40,"2105 Michael Isle
West Angelahaven, AZ 01941",0,respite,female,1,0,1,Joseph Odonnell,2,['dog'],[]
41,"9647 Lindsey Forest
Cheryltown, UT 86793",1,full,male,0,1,0,Catherine Jones,1,[],[]
42,"556 Victoria Creek Apt. 107
West Zacharyfurt, MN 76093",1,respite,male,0,0,1,Diana Horton,1,[],[]
43,"93589 Matthew Orchard
East Sherry, AZ 74521",1,full,mtf,0,0,0,Ronald Long,1,[],[]
44,"3152 Thompson Village
Crossberg, OK 27980",0,full,male,0,1,0,Angela Houston,2,[],[]
45,"2792 Murphy Crossing
Robinsonfort, NH 38872",0,full,male,0,0,0,James Cisneros,1,[],[]
46,"80252 Shawn Stream Apt. 700
East Desiree, VT 38211",1,respite,male,1,0,0,Richard Shaw,1,[],[]
47,"Unit 1210 Box 3496
DPO AA 50432",0,respite,male,1,0,0,Christina Johnson MD,1,[],[]
48,"4395 Preston Drive Suite 134
South Kimberlyville, NV 09526",0,full,male,0,0,0,Robert Williams,3,[],[]
49,"3736 Mccoy Club Suite 101
Woodsview, NY 96119",1,respite,female,1,1,0,Shawn Butler,1,[],[]
