ID,address,alcohol_use,allowed_pets,gender,guest_in_relationship,guest_is_parent,host_type,indoor_smoking,mail,name,number_of_guests,pets
0,"188 Campos Hollow
West Brian, TX 38669",0,[],female,0,1,respite,0,tarabuck@gmail.com,Drew Peterson,2,"['bird', 'dog']"
1,"8591 Lowe Brook Suite 988
South Jenniferborough, IL 76427",1,[],male,0,0,full,0,jonathanwood@yahoo.com,Cindy Fischer,3,"['reptile', 'fish']"
2,"365 Flores Court
East Andrew, AK 72047",0,[],female,0,0,full,0,brettjones@hotmail.com,Matthew Williams,1,"['fish', 'other']"
3,"47047 Martinez Bypass
Port Williamhaven, DE 00885",1,[],female,1,0,respite,0,kevin64@gmail.com,Victoria Thomas,1,[]
4,"377 Cole Mount
Theresaburgh, MD 31976",1,[],male,1,1,respite,0,kristinwilliams@yahoo.com,Diane Roberts,2,['fish']
5,"USNV Cameron
FPO AP 55443",0,['dog'],male,0,0,respite,0,amanda40@hotmail.com,Courtney Gordon,1,[]
6,"PSC 7436, Box 6644
APO AE 74006",0,['reptile'],male,0,1,respite,0,jessemartinez@yahoo.com,Shannon Anderson,5,[]
7,"55746 Klein Meadows Suite 362
Duranside, MD 44301",1,"['other', 'fish']",male,0,0,full,0,nevans@yahoo.com,Elizabeth Turner,2,"['fish', 'bird']"
8,"USNS Wilson
FPO AE 65272",0,[],female,0,0,full,0,erintaylor@yahoo.com,Brandon Gonzalez,1,['bird']
9,"68620 Allen Walk
Lake Jenniferstad, VA 02365",1,[],female,0,0,respite,0,fisheralan@yahoo.com,Jennifer Lowe,4,"['reptile', 'dog', 'bird']"
10,"1930 Shawna Junctions Apt. 896
Ortegaside, MO 10113",0,[],male,0,0,full,1,dpace@gmail.com,Andrew Chapman,4,[]
11,"1352 Williams Fords
Amandamouth, MA 35250",0,[],female,0,0,full,0,hugheschristopher@yahoo.com,Madison Mason,1,['cat']
12,"1630 Freeman Ford Suite 908
North Erinhaven, LA 73991",0,[],female,1,0,full,0,melissamorris@hotmail.com,Thomas Johnson,4,['cat']
13,"722 Joshua Squares Suite 653
Browntown, KS 95312",0,['cat'],female,0,0,respite,0,mbeasley@yahoo.com,Tyler Green,4,"['other', 'bird', 'dog', 'reptile']"
14,"13475 Douglas Summit Suite 192
Roseburgh, CT 17950",1,[],male,0,0,full,0,sfrederick@hotmail.com,Patricia Bailey,1,[]
15,"13304 Williamson Mill
North Kayla, WV 76113",1,[],male,1,0,full,0,annareynolds@yahoo.com,Robert Henderson,11,['bird']
16,"8673 John Extensions
East Jamesshire, TX 74981",1,[],male,1,0,respite,0,ccase@hotmail.com,Antonio Coleman,2,[]
17,"77009 Carpenter Terrace Apt. 856
Rodneyhaven, KS 95608",1,[],male,1,0,full,0,nicole40@hotmail.com,Carolyn Thornton,8,[]
18,"USCGC Molina
FPO AA 20113",0,[],male,0,0,full,0,travis63@yahoo.com,Adam Wilkins,4,['dog']
19,"8014 Kelsey Via Apt. 267
Lake Jacob, VA 28722",0,[],female,0,0,full,0,stacey43@hotmail.com,Jacob Green,2,['cat']
20,"64756 Powell Junctions
Lake Samuelland, DC 42326",1,[],female,1,0,full,0,dblevins@yahoo.com,Cynthia Brooks,8,['dog']
21,"5488 Tamara Lake Suite 931
Port Jennifer, NV 12382",1,[],male,0,0,full,0,cwilliamson@hotmail.com,William Murphy,2,"['cat', 'other', 'dog']"
22,"797 Cunningham Islands
Smithfort, IN 21693",1,[],female,1,0,full,0,fischerkristina@gmail.com,Cynthia King,5,[]
23,"02729 Cooper Parks Apt. 105
South Tiffany, CT 39275",1,['dog'],male,1,0,full,0,ymccall@yahoo.com,Omar Martin,3,"['other', 'dog', 'bird', 'cat']"
24,"2865 Sarah Highway
Moorebury, WY 38406",1,[],female,0,0,full,0,jeff10@gmail.com,Jeremy Burns,1,[]
25,"516 Stephanie Spurs Apt. 000
Garciachester, CA 58445",1,[],female,1,0,full,0,hunter80@hotmail.com,Amanda Hahn,3,['cat']
26,"1781 Barrett Keys Apt. 652
New Angela, UT 81517",1,['cat'],male,1,0,full,0,erika78@hotmail.com,David Stevens,2,['other']
27,"Unit 3476 Box 9055
DPO AA 23558",0,[],ftm,1,0,full,0,jkim@hotmail.com,Zachary Henderson,3,"['reptile', 'other']"
